generation;mean_p;mean_t;meanfrs;meanmrs;varp;vart;covpt;varfrs;varmrs;surviving_males;surviving_females;N;
0;-7.82434e-05;-0.000573227;9.89315;9.99191;1.36584e-05;3.33967e-05;1.67931e-07;1.05704;98.989;2500;2500;5000;
10;-5.34461e-05;-0.00483344;10;9.8717;0.000106316;0.000247388;-4.70536e-06;0;105.621;2461;2539;5000;
20;0.000593965;-0.00952327;10;10.3308;0.000207758;0.000468227;-8.0333e-06;0;103.481;2439;2561;5000;
30;0.000709875;-0.0145431;10;10.1733;0.000270787;0.000731622;7.79063e-07;0;104.323;2473;2524;5000;
40;0.000574666;-0.0183703;10;9.91643;0.000429563;0.000837956;1.15688e-06;0;101.028;2508;2492;5000;
50;0.00174223;-0.0247144;10;10.2015;0.000504703;0.00121304;1.10657e-06;0;101.773;2468;2531;5000;
60;0.00188262;-0.029145;9.78465;10.0123;0.000703071;0.00131578;3.2314e-05;2.10711;103.148;2500;2499;5000;
70;0.00153087;-0.0323922;10;9.63714;0.000855853;0.00161536;-2.28408e-05;0;97.9175;2522;2470;5000;
80;0.0013841;-0.0371589;9.75446;9.68081;0.00109793;0.00175789;3.92124e-05;2.39515;98.6052;2531;2463;5000;
90;0.00144916;-0.0405594;10;10.0875;0.00132011;0.00187444;1.85354e-05;0;104.171;2458;2535;5000;
100;0.00388912;-0.0473634;9.95937;9.64947;0.00152332;0.00232433;-1.96016e-05;0.404688;96.7263;2541;2451;5000;
110;0.00510142;-0.0506938;10;9.91311;0.00167509;0.00236572;3.59539e-05;0;99.9135;2488;2510;5000;
120;0.00651399;-0.0601929;9.80762;9.68862;0.00182566;0.00293599;1.9436e-05;1.88684;100.502;2541;2447;5000;
130;0.00303613;-0.0694124;9.90837;9.9759;0.00192551;0.00308506;4.46322e-05;0.907938;95.903;2492;2487;5000;
140;0.00217998;-0.0741623;10;9.95242;0.00177332;0.00337112;-6.29361e-05;0;100.156;2472;2510;5000;
150;0.00506104;-0.0723202;9.85843;10.114;0.00173327;0.00340815;0.000111038;1.39561;101.412;2474;2507;5000;
160;0.0040467;-0.0726495;10;10.02;0.00188364;0.00360127;-3.84314e-06;0;106.105;2477;2511;5000;
170;0.00498564;-0.0754581;10;9.91325;0.00193734;0.00344791;-6.53219e-05;0;104.645;2477;2514;5000;
180;0.00316687;-0.0747329;9.66981;9.80049;0.00188428;0.00373785;4.52587e-05;3.19286;100.245;2522;2460;5000;
190;0.004068;-0.0752466;10;10.1281;0.00215168;0.00396851;4.00779e-05;0;103.747;2456;2530;5000;
200;0.00122419;-0.0728003;9.84621;10.0568;0.00186381;0.00360286;-1.86377e-05;1.5142;100.565;2488;2497;5000;
210;-0.00165693;-0.0773581;9.68229;10.0372;0.0024083;0.00377011;7.75597e-05;3.07613;102.314;2485;2499;5000;
220;-0.00502326;-0.0826703;9.81702;9.8029;0.00224141;0.00397195;-3.20247e-05;1.79627;100.404;2515;2468;5000;
230;-0.00522204;-0.0779352;9.95516;9.58775;0.00229724;0.00364514;2.85362e-05;0.44642;101.322;2538;2442;5000;
240;-0.00625991;-0.0796434;9.74151;10.2533;0.0023422;0.00329782;-1.75625e-05;2.51806;99.6451;2461;2525;5000;
250;-0.00397805;-0.0803285;10;9.95255;0.00242974;0.00360106;-0.000118126;0;105.178;2469;2517;5000;
260;-0.00227797;-0.0838114;10;9.93232;0.00251011;0.00333434;-1.32612e-05;0;104.972;2492;2495;5000;
270;0.00257084;-0.0832846;10;9.83721;0.00262872;0.00316169;-3.69916e-05;0;100.981;2446;2538;5000;
280;0.00539857;-0.0864786;9.992;9.992;0.0026985;0.00323293;-1.98264e-05;0.079936;101.92;2490;2498;5000;
290;0.00286334;-0.0886067;9.92409;9.91189;0.00288598;0.00335191;-6.38376e-05;0.753327;101.074;2502;2484;5000;
300;0.00166594;-0.0913456;10;10.0554;0.0030778;0.00345033;0.000120889;0;103.718;2447;2540;5000;
310;-0.000906671;-0.0934326;10;9.996;0.00314794;0.00352885;-1.43731e-05;0;99.2808;2481;2502;5000;
320;-0.00092847;-0.0980685;10;9.75207;0.0034456;0.00346485;4.19033e-05;0;102.929;2509;2478;5000;
330;0.0019401;-0.100514;10;9.88528;0.00301946;0.00376843;-3.34897e-06;0;102.874;2483;2499;5000;
340;-0.00319677;-0.109585;9.85949;9.74492;0.00340089;0.00442747;3.49433e-05;1.38532;101.968;2523;2456;5000;
350;-0.00356068;-0.113563;9.9918;9.52344;0.00316603;0.00490492;2.93906e-05;0.0819;91.3354;2540;2438;5000;
360;-0.00183083;-0.116127;10;10.2021;0.00304827;0.00501342;-2.68812e-05;0;106.776;2405;2574;5000;
370;-0.00281912;-0.113573;10;10.2755;0.00319895;0.00458892;7.33107e-06;0;104.867;2438;2536;5000;
380;-0.00148172;-0.11409;10;9.62963;0.00339061;0.00417888;7.50482e-05;0;102.748;2506;2470;5000;
390;-0.00178011;-0.122292;9.87421;10.1995;0.00338516;0.00444373;-1.44504e-05;1.24204;102.933;2464;2512;5000;
400;0.00193398;-0.123553;9.98392;9.88854;0.0037785;0.00499133;6.57714e-05;0.160513;98.9525;2485;2484;5000;
410;-0.00257853;-0.119596;10;10.0918;0.00360303;0.0048722;-0.000252766;0;101.707;2441;2529;5000;
420;0.000641313;-0.122458;10;9.83922;0.00369587;0.0049719;-0.000112956;0;109.504;2457;2509;5000;
430;0.0031541;-0.127366;10;10.1243;0.00350836;0.0052723;7.7617e-05;0;101.589;2445;2524;5000;
440;0.00228894;-0.130349;9.84462;9.8755;0.00368649;0.00560443;-9.42825e-05;1.52964;98.9002;2502;2471;5000;
450;0.00800404;-0.127153;9.85016;10.0974;0.00341287;0.00505094;-2.94497e-05;1.47597;100.478;2476;2498;5000;
460;0.00327338;-0.129201;10;9.88676;0.00373961;0.00520935;2.93127e-05;0;101.705;2437;2532;5000;
470;0.0048154;-0.126983;10;9.90476;0.00353509;0.00513406;-2.23296e-05;0;104.832;2488;2496;5000;
480;-0.000314346;-0.13055;9.75648;9.97963;0.00371891;0.00558101;-9.24635e-05;2.37589;103.952;2484;2484;5000;
490;-0.00127459;-0.133581;9.844;9.78;0.00373485;0.0055031;-6.31714e-05;1.53566;94.0716;2515;2461;5000;
500;-0.00528594;-0.141297;10;10.092;0.00412359;0.00610098;5.82169e-05;0;97.4326;2435;2524;5000;
510;-0.00160785;-0.135756;10;10.0763;0.00420824;0.00537454;7.16106e-05;0;109.227;2453;2510;5000;
520;-0.00851133;-0.132126;10;9.8549;0.00466914;0.0047948;4.50483e-05;0;102.842;2454;2513;5000;
530;-0.007776;-0.133882;10;9.50175;0.00503503;0.00550255;-0.000191506;0;96.6766;2529;2441;5000;
540;-0.0106266;-0.133886;9.87529;10.4067;0.00490425;0.00500779;6.43625e-05;1.23153;110.64;2435;2534;5000;
550;-0.0156892;-0.130385;9.90711;9.7187;0.00479923;0.00484926;-7.5706e-06;0.920289;97.9003;2506;2453;5000;
560;-0.00795156;-0.129366;9.81825;10.0446;0.00442028;0.00497081;-5.0985e-05;1.78443;103.319;2476;2485;5000;
570;-0.0144061;-0.130231;9.60141;9.76649;0.00467865;0.00471352;2.30306e-05;3.82706;101.338;2501;2457;5000;
580;-0.0176506;-0.130563;10;9.96443;0.00464011;0.00517851;-2.90774e-05;0;99.1687;2446;2521;5000;
590;-0.0180632;-0.131413;9.88053;9.96786;0.00471211;0.00491909;-4.18375e-06;1.18047;98.9945;2484;2481;5000;
600;-0.0213145;-0.129746;10;9.93643;0.00534797;0.00457783;-2.71569e-05;0;103.294;2477;2501;5000;
610;-0.0260288;-0.12849;10;10.2239;0.00623028;0.00468585;-3.87462e-05;0;101.989;2408;2557;5000;
620;-0.0302827;-0.124081;9.86551;10.089;0.00661343;0.00471437;-0.000222911;1.32685;103.067;2471;2494;5000;
